4747 63908
180505807 57378470 1
180505807 16934483 1
180505807 68824195 1
180505807 586 1
180505807 58166411 1
180505807 14305022 1
180505807 19094625 1
180505807 380 1
180505807 5827292 1
180505807 19507576 1
180505807 8479062 1
180505807 1186 1
180505807 40198602 1
180505807 18974638 1
180505807 20904050 1
180505807 12544312 1
180505807 652193 1
180505807 10476462 1
180505807 326658079 1
180505807 22253 1
180505807 883301 1
180505807 15819085 1
180505807 15384741 1
180505807 15187243 1
180505807 67157376 1
180505807 15725851 1
180505807 14904282 1
180505807 13652832 1
180505807 1566521 1
180505807 14220606 1
180505807 10013512 1
180505807 15302100 1
180505807 16215038 1
180505807 3191321 1
180505807 761 1
180505807 8630562 1
180505807 16803822 1
180505807 15583257 1
180505807 17459034 1
180505807 2727051 1
180505807 16365983 1
180505807 21966890 1
180505807 11718 1
180505807 14461282 1
180505807 17244030 1
180505807 45673 1
180505807 8948032 1
180505807 8501792 1
180505807 18189237 1
180505807 2223571 1
180505807 61133 1
180505807 23462787 1
180505807 16781846 1
180505807 849101 1
180505807 147779347 1
180505807 892061 1
180505807 20607165 1
180505807 13265572 1
180505807 78453 1
180505807 1657131 1
180505807 17900339 1
180505807 14763 1
180505807 2039761 1
180505807 5871202 1
14202711 10476462 1
14202711 19094625 1
14202711 586 1
14202711 652193 1
14202711 15540222 1
14202711 19479427 1
14202711 380 1
14202711 6160742 1
14202711 14904282 1
14202711 6331462 1
14202711 16119767 1
14202711 5854882 1
14202711 1566521 1
14202711 1186 1
14202711 57378470 1
14202711 1260231 1
14202711 14749606 1
14202711 29294520 1
14202711 14367669 1
14202711 8479062 1
14202711 3191321 1
14202711 62415556 1
14202711 179339999 1
761 8708232 1
761 765548 1
761 174958347 1
761 5994452 1
761 460693601 1
761 22253 1
761 14367669 1
761 62415556 1
761 9943672 1
761 652193 1
761 2735631 1
761 15540222 1
761 47015938 1
761 14087951 1
761 79033767 1
761 1678471 1
761 11178592 1
761 16317798 1
761 14231571 1
761 57739496 1
761 1186 1
761 528 1
761 13334762 1
761 47 1
761 380 1
761 5854882 1
761 8067082 1
761 662423 1
761 163449492 1
761 6687652 1
761 713263 1
663463 728163 1
663463 713263 1
663463 14231571 1
663463 22253 1
663463 12725022 1
663463 7415132 1
663463 636923 1
663463 6735 1
663463 528 1
663463 668423 1
663463 51123 1
663463 16004268 1
663463 11178592 1
663463 19223 1
663463 9283582 1
663463 9616792 1
663463 1260231 1
663463 14749606 1
663463 14178728 1
663463 6503412 1
663463 15540222 1
663463 6687652 1
663463 5813712 1
663463 255617445 1
663463 20904050 1
663463 9943672 1
663463 13334762 1
663463 51518017 1
663463 8479062 1
15384741 17384098 1
15384741 9611352 1
15384741 9767472 1
15384741 15304923 1
15384741 11178592 1
15384741 24340234 1
15384741 15801446 1
15384741 14305022 1
15384741 14819149 1
15384741 652193 1
15384741 9943672 1
15384741 2735631 1
15384741 14231571 1
15384741 19101100 1
15384741 14710479 1
15384741 9283582 1
15384741 17729005 1
15384741 6253882 1
15384741 17633994 1
15384741 22253 1
15384741 528 1
15384741 636923 1
15384741 20904050 1
15384741 1260231 1
15384741 12741 1
15384741 51518017 1
9943672 20904050 1
9943672 6331462 1
9943672 528 1
9943672 3191321 1
9943672 16912257 1
9943672 163449492 1
9943672 11178592 1
9943672 728163 1
9943672 19223 1
9943672 67157376 1
9943672 1186 1
9943672 2727051 1
9943672 13019862 1
9943672 14231571 1
9943672 18498878 1
9943672 16004268 1
9943672 14305022 1
9943672 6735 1
9943672 57739496 1
9943672 79033767 1
9943672 12725022 1
9943672 652193 1
9943672 51518017 1
9943672 14749606 1
9943672 6503412 1
9943672 16803822 1
9943672 14178728 1
9943672 22253 1
9943672 255617445 1
9943672 47 1
9943672 8479062 1
9943672 17459034 1
19483147 20904050 1
19483147 713263 1
19483147 1566521 1
19483147 5854882 1
15109716 22253 1
15109716 2735631 1
15109716 16317798 1
15109716 5827292 1
15109716 7461782 1
15109716 8866342 1
15109716 586 1
15109716 234270825 1
15109716 10044992 1
15109716 19966557 1
15109716 14267393 1
15109716 17864230 1
15109716 8003822 1
15109716 8067082 1
15109716 15459980 1
15109716 563200400 1
15109716 20755177 1
104937383 13462502 1
104937383 8630302 1
104937383 67157376 1
104937383 287713 1
104937383 234270825 1
104937383 586 1
104937383 22084427 1
104937383 17459034 1
104937383 6088382 1
636923 20904050 1
636923 7415132 1
636923 255617445 1
636923 51123 1
636923 326658079 1
636923 13648692 1
636923 14086492 1
636923 11178592 1
636923 9283582 1
636923 14231571 1
636923 728163 1
636923 1186 1
636923 51518017 1
636923 22253 1
636923 458897186 1
636923 6687652 1
636923 3829151 1
636923 3839 1
636923 643443 1
636923 75533 1
636923 1835411 1
636923 33423 1
636923 17060807 1
326658079 14809096 1
326658079 14086492 1
326658079 15540222 1
326658079 8479062 1
326658079 14749606 1
326658079 9863222 1
326658079 5813712 1
326658079 13334762 1
326658079 713263 1
563200400 14305022 1
563200400 16912257 1
563200400 13462502 1
563200400 14220606 1
563200400 6160742 1
563200400 57378470 1
563200400 13652832 1
563200400 1186 1
563200400 16461070 1
563200400 14710479 1
563200400 638323 1
563200400 3191321 1
563200400 15583257 1
563200400 5264791 1
563200400 13141442 1
563200400 14087951 1
16215038 16803822 1
16215038 14086492 1
16215038 9411772 1
16215038 15911247 1
16215038 18317233 1
51518017 255617445 1
51518017 3191321 1
51518017 7415132 1
51518017 6735 1
51518017 16912257 1
51518017 14367669 1
51518017 14305022 1
51518017 16004268 1
51518017 13141442 1
51518017 12725022 1
51518017 1186 1
51518017 15302100 1
51518017 9616792 1
51518017 22253 1
51518017 883301 1
51518017 16803822 1
51518017 14749606 1
51518017 6503412 1
51518017 586 1
51518017 13652832 1
51518017 728163 1
51518017 12741 1
51518017 11178592 1
51518017 2727051 1
51518017 20904050 1
51518017 9283582 1
51518017 662423 1
51518017 6687652 1
51518017 5854882 1
51518017 287713 1
51518017 16119767 1
51518017 17459034 1
51518017 8479062 1
51518017 652193 1
51518017 15159694 1
51518017 33423 1
51518017 36768736 1
51518017 17401682 1
51518017 24020949 1
51518017 13931982 1
51518017 12715 1
51518017 13265572 1
51518017 74594552 1
51518017 635523 1
51518017 13600352 1
51518017 10545 1
51518017 210758676 1
51518017 8197982 1
51518017 9395832 1
51518017 15396961 1
51518017 949521 1
51518017 783214 1
51518017 20 1
51518017 11231232 1
51518017 10760422 1
51518017 17900339 1
51518017 20607165 1
51518017 14327450 1
51518017 624683 1
51518017 14461282 1
51518017 14718229 1
51518017 88996186 1
51518017 43273 1
51518017 13479 1
51518017 15698507 1
51518017 823129 1
13839772 17129553 1
13839772 6331462 1
13839772 3191321 1
13839772 58166411 1
13839772 2372 1
13839772 14202817 1
13839772 5854882 1
13839772 6160742 1
883301 9616792 1
883301 57378470 1
883301 380 1
883301 1678471 1
883301 91443374 1
883301 10587552 1
883301 14710479 1
883301 15302100 1
883301 15583257 1
883301 17633994 1
883301 16119767 1
883301 2727051 1
883301 81962011 1
883301 29294520 1
883301 15775613 1
883301 67157376 1
883301 6088382 1
883301 14367669 1
883301 17408993 1
883301 14220606 1
883301 40198602 1
883301 13652832 1
883301 5854882 1
883301 1186 1
883301 17459034 1
883301 17384098 1
883301 47 1
883301 13462502 1
883301 17129553 1
883301 8708232 1
883301 1260231 1
883301 8630562 1
883301 83971810 1
883301 652193 1
883301 14 1
883301 487072890 1
883301 6331462 1
883301 16803822 1
883301 6160742 1
8003822 6735 1
8003822 14178728 1
8003822 8067082 1
8003822 20755177 1
8003822 6503412 1
8003822 17864230 1
8003822 2735631 1
8003822 528 1
8003822 11178592 1
8003822 14172562 1
8003822 14231571 1
8003822 51123 1
8003822 15459980 1
8003822 22253 1
8003822 8479062 1
8003822 174958347 1
8003822 8003822 1
8003822 8866342 1
8003822 749863 1
8003822 789068 1
8003822 49583 1
8003822 35623 1
8003822 6790312 1
8003822 3551171 1
8003822 9930742 1
8003822 5984072 1
8003822 12740542 1
8003822 17833867 1
8003822 14740219 1
8003822 14876536 1
8003822 15642029 1
8003822 33423 1
8003822 809760 1
8003822 14223829 1
8003822 262808523 1
8003822 14990751 1
8003822 10305212 1
8003822 641433 1
8003822 12091452 1
8003822 8552602 1
8003822 1084 1
8003822 732073 1
8003822 14998587 1
8003822 8867692 1
8003822 690083 1
8003822 1493121 1
8003822 759147 1
8003822 3163591 1
8003822 746 1
8003822 35293 1
8003822 639643 1
8003822 4119741 1
8003822 789747 1
8003822 2054511 1
8003822 796605 1
8003822 15829688 1
8003822 7064802 1
8003822 761975 1
8003822 7344012 1
8003822 14673345 1
8003822 15060582 1
17408993 3191321 1
17408993 528 1
17408993 586 1
17408993 5854882 1
17408993 9863222 1
17408993 6160742 1
17408993 287713 1
17408993 380 1
17408993 621713 1
13141442 17129553 1
13141442 10476462 1
13141442 15166546 1
13141442 21965123 1
13141442 1566521 1
13141442 14749606 1
13141442 10013512 1
13141442 14305022 1
13141442 5854882 1
13141442 12800212 1
13141442 1260231 1
13141442 17937655 1
13141442 8630562 1
13141442 15540222 1
13141442 19042640 1
13141442 6088382 1
13141442 14710479 1
13141442 16119767 1
13141442 19479427 1
13141442 1371101 1
15187243 5634142 1
15187243 19208772 1
15187243 15583257 1
15187243 18414485 1
15187243 1678471 1
33633793 19966557 1
15819085 13462502 1
15819085 14313755 1
15819085 21965123 1
15819085 29294520 1
15819085 19042640 1
15819085 6001592 1
15819085 487851005 1
15819085 6088382 1
15819085 17937655 1
15819085 14838800 1
15819085 8630302 1
15819085 377821426 1
15819085 8630562 1
15819085 255617445 1
15819085 174958347 1
15819085 17245224 1
15819085 16119767 1
15819085 14450509 1
17937655 17245224 1
17937655 8630302 1
17937655 1371101 1
17937655 6088382 1
17937655 14450509 1
17937655 377821426 1
17937655 8630562 1
17937655 14838800 1
17937655 21965123 1
17459034 1186 1
17459034 380 1
17459034 12741 1
17459034 83971810 1
17459034 17864230 1
17459034 22084427 1
17459034 460693601 1
17459034 11178592 1
17459034 652193 1
757502 12741 1
757502 1765921 1
757502 2727051 1
757502 551433993 1
18976476 18974638 1
17245224 14838800 1
17245224 30331404 1
17245224 6088382 1
17245224 377821426 1
17245224 8630302 1
17245224 234270825 1
17245224 8630562 1
17245224 13462502 1
17245224 487851005 1
17245224 16734561 1
17245224 14313755 1
17245224 9616792 1
17245224 16353769 1
6160742 17561826 1
6160742 765548 1
6160742 29294520 1
6160742 47 1
6160742 174958347 1
6160742 179339999 1
6160742 14367669 1
6160742 287713 1
6160742 14305022 1
6160742 6001592 1
6160742 8479062 1
6160742 14087951 1
6160742 9863222 1
6160742 1186 1
6160742 380 1
6160742 586 1
6160742 713263 1
6160742 528 1
6160742 652193 1
6160742 1260231 1
6160742 14231571 1
6160742 40198602 1
6160742 62415556 1
12800212 14450509 1
12800212 13462502 1
12800212 19042640 1
12800212 18248772 1
12800212 6001592 1
12800212 8630562 1
12800212 10013512 1
12800212 5854882 1
12800212 6331462 1
12800212 6088382 1
12800212 21965123 1
12800212 14710479 1
12800212 17129553 1
12800212 1566521 1
12800212 20221130 1
12800212 8630302 1
12800212 29294520 1
15543818 19507576 1
606083 15236339 1
606083 10476462 1
606083 21145764 1
25583917 17729005 1
25583917 15540222 1
25583917 668423 1
25583917 22588327 1
19479427 1186 1
19479427 6735 1
19479427 10476462 1
19479427 8479062 1
19479427 14819149 1
19479427 29294520 1
19479427 8630562 1
19479427 652193 1
19479427 22253 1
19479427 19094625 1
19479427 1371101 1
19479427 16119767 1
19479427 5854882 1
19479427 17729005 1
19479427 47 1
19479427 15540222 1
19479427 1260231 1
19479427 13648692 1
19479427 11178592 1
19479427 1566521 1
19479427 6331462 1
16004268 67157376 1
16004268 51123 1
16004268 15639334 1
16004268 14231571 1
16004268 11178592 1
16004268 1260231 1
16004268 14305022 1
16004268 14749606 1
16004268 79033767 1
16004268 13334762 1
16004268 275570583 1
16004268 198410517 1
16004268 1371101 1
19966557 1678471 1
19966557 551433993 1
19966557 29294520 1
19966557 15775613 1
19966557 6331462 1
19966557 6731422 1
19966557 528 1
19966557 14267393 1
19966557 8630562 1
19966557 14904282 1
19966557 12741 1
19966557 3191321 1
19966557 8866342 1
19966557 22084427 1
17384098 17129553 1
17384098 19101100 1
17384098 9767472 1
17384098 15304923 1
17384098 9283582 1
17384098 9616792 1
17384098 17729005 1
17384098 30331404 1
17384098 14819149 1
17384098 6253882 1
17384098 15801446 1
9283582 14231571 1
9283582 9611352 1
9283582 16119767 1
9283582 17938005 1
9283582 51123 1
9283582 17864230 1
9283582 11178592 1
9283582 20904050 1
9283582 9616792 1
9283582 8708232 1
9283582 15304923 1
9283582 19101100 1
9283582 9767472 1
9283582 14305022 1
9283582 15801446 1
9283582 2735631 1
9283582 6253882 1
9283582 14819149 1
9283582 17729005 1
9283582 1260231 1
9283582 6735 1
9283582 10587552 1
9283582 728163 1
9283582 6503412 1
234270825 22084427 1
234270825 174958347 1
234270825 16461070 1
234270825 8067082 1
234270825 13462502 1
234270825 14172562 1
234270825 8630562 1
14 1186 1
14 47 1
14 380 1
14 14172562 1
14 586 1
14 8479062 1
3191321 11178592 1
3191321 10476462 1
3191321 6001592 1
3191321 380 1
3191321 6331462 1
3191321 11322372 1
3191321 1186 1
3191321 528 1
3191321 14367669 1
3191321 287713 1
3191321 713263 1
3191321 255617445 1
3191321 179339999 1
3191321 14305022 1
3191321 652193 1
3191321 13462502 1
3191321 6735 1
3191321 586 1
3191321 5813712 1
3191321 14253068 1
3191321 627303 1
3191321 15043650 1
3191321 9066632 1
3191321 14306648 1
3191321 10453902 1
3191321 8384012 1
3191321 2984 1
3191321 14107142 1
3191321 16809063 1
3191321 38679514 1
3191321 57350222 1
3191321 10377392 1
3191321 5444392 1
3191321 18673 1
3191321 16476741 1
3191321 9070452 1
3191321 14561327 1
3191321 792690 1
3191321 1133971 1
3191321 14761655 1
3191321 1315011 1
3191321 12251322 1
3191321 9572502 1
3191321 855741 1
3191321 10774712 1
3191321 9941002 1
3191321 16891384 1
3191321 823615 1
3191321 6145712 1
3191321 5493662 1
3191321 13192 1
3191321 6221832 1
3191321 11294 1
3191321 12543 1
3191321 23374570 1
3191321 12661 1
3191321 823098 1
3191321 15031479 1
3191321 10625 1
3191321 8526432 1
3191321 38353 1
3191321 5504482 1
3191321 2206131 1
3191321 6186692 1
3191321 17765013 1
3191321 14553123 1
3191321 9887162 1
3191321 9980812 1
3191321 1747381 1
3191321 10255262 1
3191321 8980782 1
3191321 5768872 1
3191321 15980398 1
40198602 13652832 1
40198602 8479062 1
40198602 67157376 1
40198602 15302100 1
40198602 14471007 1
40198602 12741 1
40198602 29294520 1
40198602 14220606 1
40198602 586 1
40198602 1678471 1
40198602 360882965 1
40198602 14231571 1
40198602 380 1
40198602 652193 1
40198602 353101127 1
40198602 2727051 1
40198602 14267393 1
15304923 9767472 1
15304923 6253882 1
15304923 17729005 1
15304923 19101100 1
15304923 14819149 1
47015938 528 1
271605782 255617445 1
271605782 9411772 1
271605782 20554406 1
271605782 13648692 1
271605782 16803822 1
271605782 14086492 1
7821492 8630562 1
7821492 10587552 1
1656891 5994452 1
14231571 14710479 1
14231571 18498878 1
14231571 16803822 1
14231571 1566521 1
14231571 15540222 1
14231571 14178728 1
14231571 16317798 1
14231571 79033767 1
14231571 11178592 1
14231571 15302100 1
14231571 14305022 1
14231571 179339999 1
14231571 14471007 1
14231571 6735 1
14231571 19223 1
14231571 528 1
14231571 16119767 1
14231571 1186 1
14231571 47 1
14231571 14220606 1
14231571 2735631 1
14231571 57378470 1
14231571 652193 1
14231571 14172562 1
14231571 1765921 1
14231571 22253 1
14231571 51123 1
14231571 2727051 1
14231571 14086492 1
14231571 5854882 1
14231571 8479062 1
14231571 20904050 1
14231571 728163 1
14231571 8866342 1
14231571 14149937 1
14231571 12047992 1
14231571 14062332 1
14231571 624683 1
14231571 72418997 1
14231571 13479 1
14231571 749863 1
14231571 730593 1
14231571 78453 1
14231571 18247541 1
14231571 33423 1
14231571 13600352 1
14231571 14763 1
14231571 45673 1
14231571 626183 1
14231571 641433 1
14231571 10135132 1
14231571 13265572 1
14231571 18713 1
14231571 11677 1
14231571 14971237 1
14231571 20607165 1
14231571 13212522 1
14231571 2426 1
14231571 17871414 1
14231571 30923 1
14231571 14223705 1
14231571 19045458 1
14231571 11463762 1
14231571 74594552 1
14231571 823129 1
14231571 12555 1
14231571 8197982 1
14231571 1504011 1
14231571 25993 1
14231571 5774552 1
14231571 13931982 1
14231571 61133 1
14231571 635523 1
14231571 55525953 1
14231571 11541192 1
14231571 9395832 1
16734561 13462502 1
16734561 8630302 1
16734561 16353769 1
16734561 9616792 1
57378470 19094625 1
57378470 5994452 1
57378470 1678471 1
57378470 18498878 1
57378470 19208772 1
57378470 174958347 1
57378470 16912257 1
57378470 1260231 1
57378470 460693601 1
57378470 15162141 1
57378470 6731422 1
57378470 5634142 1
57378470 8479062 1
57378470 67157376 1
57378470 11178592 1
57378470 183836186 1
57378470 2735631 1
57378470 16007011 1
57378470 1186 1
57378470 16803822 1
57378470 380 1
57378470 255617445 1
57378470 14710479 1
57378470 6735 1
57378470 20554406 1
57378470 1765921 1
57378470 586 1
57378470 5854882 1
57378470 51123 1
57378470 15583257 1
57378470 12741 1
57378470 360882965 1
22229621 20554406 1
58166411 713263 1
58166411 20904050 1
58166411 14809096 1
58166411 18248772 1
58166411 15290180 1
58166411 75533 1
58166411 16498271 1
58166411 21576334 1
58166411 1216291 1
58166411 36332476 1
58166411 41358714 1
58166411 3829151 1
58166411 15439395 1
58166411 25979812 1
58166411 2712411 1
58166411 1029511 1
58166411 18729020 1
58166411 293611884 1
58166411 14607214 1
58166411 2100521 1
58166411 11918512 1
14367669 15583257 1
14367669 19208772 1
14367669 652193 1
14367669 9863222 1
14367669 16007011 1
14367669 8479062 1
14367669 14305022 1
14367669 1260231 1
14367669 179339999 1
14367669 5994452 1
14367669 5854882 1
14367669 6331462 1
14367669 1186 1
14367669 10476462 1
14367669 14710479 1
14367669 11178592 1
14367669 528 1
14367669 30331404 1
14367669 15775613 1
14367669 1678471 1
14367669 17633994 1
14367669 586 1
14367669 380 1
14367669 15162141 1
14367669 1566521 1
14367669 14749606 1
14367669 62415556 1
14367669 2735631 1
14367669 8630562 1
10013512 19042640 1
10013512 15801446 1
10013512 14710479 1
10013512 30331404 1
10013512 10476462 1
10013512 29294520 1
10013512 5854882 1
10013512 8630562 1
10013512 14450509 1
10013512 6088382 1
10013512 586 1
10013512 652193 1
10013512 1566521 1
10013512 21965123 1
79033767 11178592 1
79033767 198410517 1
79033767 652193 1
79033767 18498878 1
79033767 20904050 1
79033767 14086492 1
2735631 652193 1
2735631 14710479 1
2735631 638323 1
2735631 7415132 1
2735631 2727051 1
2735631 14178728 1
2735631 14172562 1
2735631 19223 1
2735631 6735 1
2735631 6503412 1
2735631 15459980 1
2735631 22253 1
2735631 8479062 1
2735631 8067082 1
2735631 728163 1
2735631 1186 1
2735631 11322372 1
2735631 14305022 1
2735631 22084427 1
2735631 528 1
2735631 51123 1
2735631 11178592 1
2735631 7461782 1
2735631 586 1
2735631 20755177 1
2735631 5854882 1
2735631 20904050 1
2735631 19327052 1
2735631 14223829 1
2735631 917321 1
2735631 749863 1
2735631 10350 1
2735631 816214 1
2735631 6978642 1
2735631 610533 1
2735631 690083 1
2735631 2100521 1
2735631 10305212 1
2735631 1493121 1
2735631 641433 1
2735631 14348594 1
2735631 1008591 1
2735631 18034790 1
2735631 759147 1
2735631 15908545 1
2735631 14705287 1
2735631 135316691 1
2735631 5984072 1
2735631 80846545 1
2735631 8867692 1
2735631 3551171 1
2735631 9930742 1
2735631 72418997 1
2735631 1084 1
2735631 732073 1
2735631 15642029 1
2735631 16956955 1
2735631 6127252 1
2735631 1305941 1
2735631 49583 1
2735631 939 1
2735631 155068840 1
2735631 17431654 1
2735631 5525 1
2735631 8914942 1
2735631 151933 1
2735631 305413 1
2735631 18497302 1
2735631 11113 1
2735631 17819770 1
2735631 4578051 1
2735631 5943422 1
2735631 16101560 1
2735631 12761542 1
2735631 5611152 1
2735631 2054511 1
2735631 15127739 1
2735631 16636329 1
2735631 6790312 1
2735631 35623 1
2735631 838501 1
2735631 789747 1
2735631 18188089 1
2735631 761975 1
2735631 7344012 1
2735631 20 1
2735631 6613122 1
2735631 14876536 1
2735631 145313 1
2735631 449336156 1
2735631 607433 1
2735631 180120378 1
2735631 2224331 1
2735631 15060582 1
2735631 6480732 1
2735631 414 1
2735631 668243 1
2735631 26882352 1
2735631 15774621 1
2735631 5391882 1
2735631 33423 1
2735631 14990751 1
2735631 10519 1
2735631 12091452 1
2735631 14673345 1
2735631 1436461 1
2735631 7064802 1
2735631 552733 1
2735631 639643 1
2735631 12382582 1
2735631 15423373 1
2735631 17833867 1
2735631 842291 1
2735631 4119741 1
2735631 7576122 1
2735631 26868515 1
2735631 14998587 1
2735631 30972259 1
2735631 14335262 1
2735631 328073 1
2735631 6114492 1
2735631 14743985 1
2735631 15829688 1
2735631 32423136 1
2735631 15874998 1
2735631 618413 1
2735631 14966677 1
2735631 41713 1
2735631 12740542 1
2735631 8552602 1
2735631 14629921 1
2735631 7478612 1
2735631 796605 1
2735631 262808523 1
2735631 1688741 1
2735631 9822052 1
2735631 35293 1
2735631 3163591 1
2735631 17853760 1
2735631 789068 1
2735631 10051022 1
2735631 55676177 1
2735631 746 1
14471007 5994452 1
14471007 360882965 1
14471007 1678471 1
14471007 8708232 1
14471007 713263 1
14471007 47 1
14471007 528 1
14471007 638323 1
14471007 29294520 1
14471007 15540222 1
13538092 1678471 1
13538092 16007011 1
18248772 1678471 1
18248772 20221130 1
24340234 10587552 1
24340234 14819149 1
24340234 22588327 1
24340234 17729005 1
24340234 21965123 1
16007011 255617445 1
16007011 1678471 1
16007011 21965123 1
16007011 183836186 1
16007011 47 1
16007011 14892191 1
16007011 17561826 1
16007011 6001592 1
5264791 11322372 1
5264791 13334762 1
5264791 174958347 1
8630302 6001592 1
8630302 377821426 1
8630302 6088382 1
8630302 29294520 1
8630302 13462502 1
8630302 17129553 1
8630302 14838800 1
8630302 5827292 1
8630302 487851005 1
8630302 8630562 1
8630302 14450509 1
8630302 15166546 1
8630302 14749606 1
8630302 16353769 1
8630302 248049056 1
6088382 15775613 1
6088382 13462502 1
6088382 16119767 1
6088382 17129553 1
6088382 487851005 1
6088382 14710479 1
6088382 16353769 1
6088382 29294520 1
6088382 8630562 1
6088382 1566521 1
6088382 15639334 1
6088382 1260231 1
6088382 5854882 1
6088382 14838800 1
6088382 377821426 1
6088382 6001592 1
6088382 14450509 1
6088382 21965123 1
6088382 10476462 1
19101100 6253882 1
19101100 14819149 1
19101100 9767472 1
19101100 17729005 1
29294520 13462502 1
29294520 47 1
29294520 528 1
29294520 1566521 1
29294520 16119767 1
29294520 255617445 1
29294520 30331404 1
29294520 15801446 1
29294520 179339999 1
29294520 6001592 1
29294520 15775613 1
29294520 5854882 1
29294520 765548 1
29294520 6331462 1
29294520 8479062 1
29294520 8630562 1
29294520 1260231 1
29294520 14450509 1
9411772 15911247 1
9411772 14086492 1
9411772 20554406 1
9411772 18317233 1
19327052 15459980 1
19327052 17864230 1
19327052 16317798 1
6253882 9767472 1
6253882 21965123 1
6253882 17729005 1
6253882 14819149 1
6253882 30331404 1
287713 174958347 1
287713 16461070 1
287713 22084427 1
287713 13652832 1
287713 6331462 1
287713 652193 1
287713 586 1
287713 16912257 1
287713 380 1
14313755 14086492 1
14313755 18317233 1
14313755 13462502 1
14313755 1566521 1
16803822 1186 1
16803822 728163 1
16803822 13648692 1
16803822 20554406 1
16803822 15583257 1
16803822 12725022 1
16803822 1678471 1
16803822 14178728 1
16803822 14749606 1
16803822 6503412 1
16803822 81962011 1
10587552 17729005 1
10587552 22588327 1
10587552 15166546 1
10587552 6001592 1
10587552 1186 1
10587552 8708232 1
10587552 130268655 1
10587552 30331404 1
14819149 17729005 1
14819149 1566521 1
14819149 68824195 1
14819149 14172562 1
14819149 183836186 1
14819149 8708232 1
14819149 9767472 1
14819149 22588327 1
14819149 17938005 1
14819149 14749606 1
14819149 30331404 1
6001592 130268655 1
6001592 765548 1
6001592 487851005 1
6001592 47 1
6001592 9863222 1
6001592 14450509 1
6001592 165964253 1
6001592 8630562 1
6001592 377821426 1
6001592 1566521 1
6001592 15166546 1
6001592 67157376 1
6001592 248049056 1
6001592 17729005 1
353101127 136865608 1
353101127 109186893 1
353101127 155696919 1
19223 14305022 1
19223 728163 1
19223 51123 1
19223 7415132 1
19223 14749606 1
19223 8067082 1
19223 12725022 1
19223 14178728 1
19223 6368672 1
19223 6687652 1
19223 11322372 1
19223 9616792 1
19223 11178592 1
19223 183836186 1
19223 528 1
19223 6503412 1
19223 12007182 1
19223 6735 1
19223 14172562 1
528 662423 1
528 14892191 1
528 51123 1
528 9863222 1
528 17864230 1
528 14172562 1
528 7415132 1
528 11178592 1
528 8067082 1
528 47 1
528 12725022 1
528 6503412 1
528 15459980 1
528 7461782 1
528 14305022 1
528 8479062 1
528 6735 1
